@relation Crop_recommendation

@attribute N numeric
@attribute P numeric
@attribute K numeric
@attribute temperature numeric
@attribute humidity numeric
@attribute ph numeric
@attribute rainfall numeric
@attribute label {rice,maize,chickpea,kidneybeans,pigeonpeas,mothbeans,mungbean,blackgram,lentil,pomegranate,banana,mango,grapes,watermelon,muskmelon,apple,orange,papaya,coconut,cotton,jute,coffee}

@data
73,58,21,19.97216,57.682729,6.596061,60.651715,maize
61,38,20,18.478913,62.695039,5.970458,65.438354,maize
68,41,16,21.776893,57.808406,6.158831,102.086169,maize
93,41,17,25.621717,66.504155,6.047907,105.46547,maize
89,60,19,25.191924,66.69029,5.913665,78.066396,maize
76,44,17,20.416831,62.554248,5.855442,65.277985,maize
67,60,25,24.921622,66.786274,5.750255,109.216228,maize
70,44,19,23.316891,73.454154,5.852607,94.297128,maize
90,49,21,24.840167,68.358457,6.472523,74.054749,maize
62,52,16,22.275267,58.840159,6.967058,63.870206,maize
92,44,16,18.877514,65.768161,6.082974,94.761894,maize
66,54,21,25.190087,60.200169,5.919046,72.123756,maize
63,58,22,18.254054,55.282204,6.204748,63.723582,maize
70,47,17,24.612912,70.416244,6.600827,104.162615,maize
61,41,17,25.142061,65.261851,6.021902,76.68456,maize
66,53,19,23.093481,60.115938,6.03355,65.497307,maize
74,55,19,18.050337,62.89367,6.288868,84.236135,maize
77,57,21,24.932158,73.804353,6.550564,79.740787,maize
99,50,15,18.147101,71.094453,5.573286,88.077537,maize
74,56,22,18.283622,66.659528,6.829199,80.975733,maize
83,45,21,18.833445,58.75082,5.716223,79.75329,maize
100,48,16,25.718958,67.221907,5.549902,74.514908,maize
79,51,16,25.337977,68.49836,6.586245,96.463802,maize
94,39,18,23.891146,57.487758,5.893093,102.830194,maize
75,49,15,21.535741,71.50906,5.918264,102.485293,maize
78,48,22,23.089749,63.104596,5.588651,70.434736,maize
87,54,20,25.617074,63.471176,6.576418,108.830376,maize
87,35,25,21.445269,63.162155,6.178056,65.889512,maize
63,43,19,18.518168,55.531281,6.641906,90.988051,maize
84,57,25,22.535105,67.992575,6.48904,64.40866,maize
64,35,23,23.020383,61.89472,5.680361,63.038434,maize
60,46,22,24.893646,65.614188,6.625404,87.929808,maize
98,44,21,25.771751,74.089114,6.524478,107.493192,maize
75,56,18,19.398517,62.357506,5.696205,60.951975,maize
86,55,21,21.541562,59.640242,6.803932,109.751538,maize
98,35,18,23.797461,74.829137,6.252798,91.763372,maize
76,57,18,18.980273,74.526008,6.092726,94.262494,maize
99,56,17,24.108592,73.131123,6.23433,71.075622,maize
60,44,23,24.794708,70.045567,5.72258,76.728601,maize
74,48,17,21.631628,60.277664,6.430616,69.218031,maize
89,60,17,25.375488,57.210256,5.983953,101.700431,maize
69,51,23,22.217382,72.854628,6.801639,106.621316,maize
96,46,22,20.58314,69.001286,6.499936,66.293904,maize
61,60,15,24.875028,68.742483,6.265564,91.260567,maize
74,58,18,20.037282,56.356068,6.727303,109.024141,maize
74,43,23,25.952633,61.890822,6.325235,99.579812,maize
63,43,17,19.288899,65.470508,6.807488,71.319531,maize
99,36,20,20.579819,65.345839,6.671086,78.346045,maize
77,36,23,24.714175,56.734265,6.648725,88.453619,maize
87,60,23,20.273171,63.912819,6.439072,62.503519,maize
60,38,17,18.41933,64.235803,6.474477,76.413124,maize
94,54,17,23.391282,61.744272,5.871648,107.319813,maize
95,38,22,19.849394,61.245001,5.730617,100.768925,maize
84,44,21,21.869274,61.910449,5.85044,107.268193,maize
77,58,19,22.805603,56.507689,5.79165,101.595279,maize
66,44,20,19.078147,69.022986,6.740001,80.725159,maize
63,35,16,22.02721,65.355499,6.272418,83.732801,maize
79,45,20,23.805462,59.24538,5.715209,89.962201,maize
72,60,25,18.525108,69.027623,5.773455,88.102344,maize
67,51,24,23.502979,61.320261,5.584171,64.777914,maize
86,36,24,26.549864,72.891873,5.787268,73.336361,maize
76,48,18,19.295634,69.634812,5.775978,83.210306,maize
75,53,18,20.688999,59.437534,6.864794,103.651438,maize
81,45,23,19.326661,68.034493,6.19236,84.229692,maize
73,45,21,24.605322,73.588685,6.636803,96.591953,maize
71,35,24,22.273736,59.521932,5.826427,67.967048,maize
96,54,22,25.701967,61.334504,6.960358,83.207113,maize
99,39,18,19.201294,68.30579,6.112751,87.850924,maize
62,48,20,21.701814,60.474705,6.708447,95.713885,maize
86,37,16,20.517168,59.212355,5.561511,67.610137,maize
94,50,19,23.303553,73.625484,5.873242,97.590813,maize
76,39,24,24.254745,55.647099,6.995844,64.238455,maize
77,52,17,24.863749,65.742005,5.7148,75.822705,maize
74,39,23,22.626511,65.774729,6.780736,88.17251,maize
81,49,20,18.041855,60.614943,5.513698,104.232162,maize
63,42,21,23.262376,72.331255,5.798424,67.102251,maize
99,38,21,22.883309,71.597224,6.352472,67.727773,maize
90,52,25,25.974824,69.363857,6.822587,103.223421,maize
68,40,19,26.14384,66.205699,6.655426,107.236137,maize
60,57,24,18.661162,61.553272,6.121294,75.032477,maize
71,52,18,25.107874,55.977328,5.79077,78.160777,maize
61,59,17,23.338446,59.245806,6.474443,105.008314,maize
88,38,15,25.082397,65.921958,6.455117,62.491908,maize
65,60,22,25.367684,72.520546,6.606984,107.912411,maize
78,37,22,25.342171,63.31802,6.330554,74.52082,maize
78,58,15,25.009334,67.816568,6.528631,62.913595,maize
92,60,23,18.667467,71.516474,5.721667,69.932933,maize
79,59,17,20.379997,63.7385,6.644205,108.505442,maize
91,55,15,18.093002,72.610242,6.376651,78.961595,maize
76,51,18,26.169859,71.962466,6.24704,79.849254,maize
87,48,25,18.653967,61.378797,6.65673,93.620392,maize
71,60,22,26.074701,59.371476,6.204802,85.756924,maize
90,57,24,18.928519,72.800861,6.15886,82.341629,maize
67,35,22,23.305468,63.24648,6.385684,108.7603,maize
60,54,19,18.748267,62.498785,6.41782,70.234016,maize
83,58,23,19.742133,59.662631,6.381202,65.508614,maize
83,57,19,25.730444,70.747393,6.877869,98.737713,maize
40,72,77,17.024985,16.988612,7.485996,88.551231,chickpea
23,72,84,19.020613,17.131591,6.920251,79.926981,chickpea
39,58,85,17.887765,15.405897,5.996932,68.549329,chickpea
22,72,85,18.868056,15.658092,6.391174,88.51049,chickpea
36,67,77,18.369526,19.56381,7.152811,79.263577,chickpea
32,73,81,20.450786,15.403121,5.988993,92.683737,chickpea
58,70,84,20.65432,16.608208,6.231049,74.663112,chickpea
59,70,84,17.334868,18.74927,7.550808,82.617347,chickpea
42,62,75,18.179123,18.904269,7.010571,81.849975,chickpea
28,74,81,18.012723,18.309681,8.753795,81.985688,chickpea
58,66,79,20.993736,19.334704,8.718193,93.552801,chickpea
43,66,79,19.46234,15.22539,7.976608,74.585651,chickpea
58,63,81,19.813445,14.697653,6.5155,78.965147,chickpea
23,62,85,18.974248,19.516122,8.490127,80.710875,chickpea
27,62,77,18.19737,14.710705,6.576416,70.181852,chickpea
28,72,84,18.729631,19.181973,6.481783,71.580102,chickpea
50,56,76,20.995022,19.86013,7.966605,73.50734,chickpea
39,71,84,20.281559,16.395352,8.140825,82.523397,chickpea
25,78,76,17.480426,15.75594,7.228963,66.969806,chickpea
31,70,77,20.888187,14.323138,6.492546,90.462283,chickpea
26,80,83,17.084985,16.145658,7.5286,71.310073,chickpea
25,68,77,20.093406,15.112796,7.701446,85.749049,chickpea
31,78,76,17.572121,14.999275,8.519976,89.310507,chickpea
60,68,83,19.120652,18.434758,6.620901,85.529502,chickpea
59,62,83,18.576659,19.220082,8.104396,72.949404,chickpea
22,67,78,17.166064,14.424575,6.204091,72.326675,chickpea
36,65,80,18.287201,16.679216,6.051091,74.874456,chickpea
59,60,84,19.030253,18.667256,7.690962,94.70992,chickpea
54,77,85,17.141861,17.066243,7.829211,83.746067,chickpea
43,68,81,17.478094,17.93254,6.7616,78.920602,chickpea
28,76,82,20.566019,14.25804,6.654425,83.759371,chickpea
42,79,85,17.223852,15.820693,6.129534,76.57581,chickpea
32,60,83,19.691417,19.442254,8.829273,91.760716,chickpea
22,78,76,17.848517,19.091729,8.621663,76.324707,chickpea
31,79,75,18.820225,16.107479,8.204862,89.731194,chickpea
28,58,81,17.47501,16.543148,6.180427,93.350343,chickpea
57,58,77,18.726494,17.584064,7.978997,81.201765,chickpea
49,55,78,18.655801,16.177727,7.863114,81.707693,chickpea
46,76,77,18.235675,19.685385,6.967843,83.748793,chickpea
54,61,77,18.811981,15.216182,6.206582,77.542942,chickpea
38,60,76,18.650541,17.808524,8.868741,77.927987,chickpea
59,55,79,20.367204,16.895743,8.766129,82.254558,chickpea
36,76,75,18.381204,16.638052,8.736338,70.520567,chickpea
57,68,81,17.170126,17.304577,8.081095,72.786242,chickpea
35,66,81,19.371011,15.774581,6.138244,85.248199,chickpea
35,64,78,17.928459,14.27328,7.496645,85.373788,chickpea
52,60,79,19.453399,18.234907,8.380185,75.631757,chickpea
27,76,83,19.128294,14.922415,6.289614,89.618578,chickpea
57,60,84,19.103428,17.261845,6.586777,75.491012,chickpea
52,68,78,17.485041,16.960706,6.896552,86.05078,chickpea
43,79,79,19.407517,18.980305,7.806748,80.250646,chickpea
44,74,85,20.186494,19.6372,7.150681,78.260396,chickpea
24,55,78,17.302879,15.154059,6.649196,75.577904,chickpea
29,77,75,17.503611,15.480832,7.778592,72.944667,chickpea
20,60,78,18.17235,14.70086,6.35874,90.776071,chickpea
56,67,78,17.574456,16.718266,8.255451,77.818914,chickpea
37,66,85,20.931753,18.912954,6.456148,78.069108,chickpea
49,71,76,19.710983,17.638794,6.613072,85.579254,chickpea
59,69,80,19.079377,17.867549,8.165359,69.406191,chickpea
20,79,77,18.549886,16.025427,7.648675,76.325652,chickpea
24,56,85,18.199036,17.413332,6.545889,80.64054,chickpea
51,72,75,18.888525,14.994511,7.104225,80.111338,chickpea
57,73,85,18.493112,14.72115,7.3581,91.945954,chickpea
22,64,82,19.489743,17.172603,6.474025,87.513128,chickpea
52,73,79,17.257695,18.74944,7.840339,94.002872,chickpea
29,75,75,19.624163,18.714832,7.06479,88.458569,chickpea
44,59,78,20.675265,19.85389,7.599033,84.78344,chickpea
41,69,82,20.023815,16.632945,6.715587,68.978065,chickpea
52,56,85,20.118745,14.442283,6.817124,88.681686,chickpea
34,76,80,20.656918,15.845726,7.985417,65.238111,chickpea
42,74,83,19.258256,14.280419,7.545258,65.78042,chickpea
34,71,79,17.927806,15.856229,7.728998,74.638728,chickpea
27,73,79,19.162883,15.835007,7.354973,82.697668,chickpea
30,70,79,20.269423,19.969789,7.313122,69.644492,chickpea
57,57,75,17.091042,18.251421,7.785039,87.274449,chickpea
27,79,82,17.065793,17.540241,6.307005,70.871506,chickpea
32,71,85,20.627675,14.440089,6.403982,92.066303,chickpea
31,76,82,20.824845,17.850571,7.59928,79.205092,chickpea
33,75,84,19.462104,18.72832,7.217018,68.814051,chickpea
47,80,77,17.182484,16.428918,7.561108,72.850173,chickpea
54,62,80,17.489117,16.390554,7.489545,79.457583,chickpea
47,79,78,17.483954,14.760145,6.609697,65.113656,chickpea
35,57,83,19.483168,17.445346,7.476801,80.498629,chickpea
53,73,77,19.713597,18.096657,7.325451,73.644765,chickpea
45,61,78,19.486493,16.062401,6.489389,81.528427,chickpea
37,78,79,19.952648,14.826331,7.786366,88.681031,chickpea
30,75,81,19.417897,16.804722,6.408438,68.495119,chickpea
37,55,82,19.455918,18.022359,8.423874,78.449106,chickpea
53,65,76,20.191378,16.419983,8.719961,77.337954,chickpea
22,60,85,18.839291,14.740719,7.811998,94.781896,chickpea
60,61,78,20.712193,19.836433,6.317153,94.036599,chickpea
42,67,77,18.994244,15.936294,7.114405,78.697072,chickpea
39,76,76,19.968375,15.573244,8.135901,69.157591,chickpea
35,63,76,17.815645,17.607566,7.714153,90.820976,chickpea
30,65,82,20.714244,15.278241,7.103798,76.778887,chickpea
57,56,78,17.341502,18.756263,8.86148,67.954543,chickpea
48,65,78,17.437327,14.338474,7.861128,73.09267,chickpea
36,56,83,18.897802,19.761829,7.452671,69.095125,chickpea
40,58,75,18.591908,14.779596,7.168096,89.609825,chickpea
49,69,82,18.315615,15.361435,7.263119,81.787105,chickpea
13,60,25,17.136928,20.595417,5.685972,128.256862,kidneybeans
25,70,16,19.634743,18.907056,5.759237,106.359818,kidneybeans
31,55,22,22.913502,21.339531,5.873172,109.225556,kidneybeans
40,64,16,16.433403,24.240459,5.926677,140.371781,kidneybeans
2,61,20,22.139747,23.022511,5.955617,76.641283,kidneybeans
26,65,22,17.848066,18.77622,5.949949,143.098417,kidneybeans
17,57,21,19.88394,20.315641,5.789214,60.919748,kidneybeans
26,80,18,19.325096,23.333479,5.581022,104.778395,kidneybeans
17,59,17,18.4167,23.428299,5.689858,132.980105,kidneybeans
27,59,22,21.811676,23.205912,5.794159,130.060809,kidneybeans
28,58,24,19.727025,18.28173,5.74819,143.763089,kidneybeans
25,57,19,17.15433,19.870707,5.566523,87.996697,kidneybeans
28,80,17,19.622078,18.671709,5.80942,144.156745,kidneybeans
25,60,22,21.631491,21.179197,5.887263,134.364995,kidneybeans
12,78,23,16.065228,18.724797,5.998125,88.066388,kidneybeans
6,77,25,20.611622,24.363141,5.792745,69.638339,kidneybeans
22,79,17,21.424511,20.396597,5.91229,116.520692,kidneybeans
27,80,15,19.070962,21.210923,5.788387,86.219176,kidneybeans
10,55,23,21.188532,19.634386,5.728233,137.194863,kidneybeans
23,65,20,23.04291,22.42611,5.83394,108.368432,kidneybeans
19,78,16,20.653758,23.105386,5.967533,67.717689,kidneybeans
19,65,25,18.09551,18.293184,5.625096,144.790232,kidneybeans
22,70,19,18.237757,21.076433,5.515615,69.449516,kidneybeans
37,64,22,17.481897,18.825197,5.954665,121.940137,kidneybeans
11,71,17,19.919179,21.473242,5.746448,82.685544,kidneybeans
18,79,20,20.275147,23.23536,5.877348,139.752154,kidneybeans
21,63,17,15.773702,19.230316,5.979974,108.344141,kidneybeans
24,80,22,16.711706,19.176514,5.635994,96.772858,kidneybeans
34,60,22,17.661482,18.153028,5.635232,100.671176,kidneybeans
16,75,21,18.506928,23.616701,5.679224,87.051329,kidneybeans
17,77,23,24.513248,20.815276,5.670063,64.194979,kidneybeans
37,72,18,18.87615,24.540383,5.724242,105.412051,kidneybeans
40,73,20,21.59343,20.318712,5.811314,61.13872,kidneybeans
9,77,17,20.123733,24.452026,5.783425,106.158201,kidneybeans
1,62,23,15.435461,18.374779,5.607808,139.030203,kidneybeans
33,59,22,22.642369,21.593961,5.947,122.388601,kidneybeans
23,59,19,21.985608,24.873048,5.852047,129.56506,kidneybeans
6,62,22,20.530527,18.09224,5.824091,120.450929,kidneybeans
25,63,20,15.786014,21.145441,5.502999,95.170281,kidneybeans
7,79,23,19.636535,19.687511,5.82165,96.658889,kidneybeans
8,72,17,20.573412,19.752022,5.711439,87.878692,kidneybeans
27,64,15,20.160805,24.842076,5.514927,138.236212,kidneybeans
28,66,23,21.539892,24.253862,5.996161,120.691304,kidneybeans
32,57,18,15.538348,23.755602,5.695423,107.385059,kidneybeans
27,56,22,19.918531,20.700998,5.833011,108.643454,kidneybeans
17,77,24,20.769522,18.931469,5.568457,109.019371,kidneybeans
0,65,15,23.461683,23.221976,5.645436,95.842534,kidneybeans
13,72,21,24.321166,21.027867,5.821194,60.275525,kidneybeans
34,60,23,20.125741,24.969699,5.659255,100.049718,kidneybeans
9,80,19,21.806196,18.570866,5.945466,125.097269,kidneybeans
11,72,20,19.522262,24.926072,5.951177,113.334026,kidneybeans
3,67,24,17.000676,19.907905,5.52088,103.292641,kidneybeans
35,69,23,16.787915,24.968818,5.57841,75.45328,kidneybeans
3,77,25,24.849062,22.894646,5.608165,62.212922,kidneybeans
23,62,19,16.517835,20.45556,5.609435,98.777942,kidneybeans
22,71,17,18.153002,19.386021,5.509295,107.690796,kidneybeans
31,79,25,23.188644,22.310455,5.902033,63.382088,kidneybeans
34,59,18,23.380026,21.988794,5.744118,87.668987,kidneybeans
12,63,17,18.358923,19.377034,5.717143,138.414764,kidneybeans
27,56,20,19.259754,20.51347,5.54269,94.953353,kidneybeans
7,63,24,22.954582,24.035531,5.858618,107.731539,kidneybeans
24,67,22,20.120043,22.898456,5.618844,104.625215,kidneybeans
11,71,24,21.140114,22.718235,5.60662,141.605672,kidneybeans
37,74,15,24.923601,18.225908,5.582178,62.708917,kidneybeans
25,76,24,15.330426,24.915067,5.565035,135.331558,kidneybeans
34,66,17,18.810973,21.27833,5.889615,125.084915,kidneybeans
20,69,15,23.442607,22.772559,5.934136,107.413725,kidneybeans
37,65,16,22.835202,18.972675,5.683548,63.592767,kidneybeans
18,74,15,24.903582,22.275127,5.708366,146.472724,kidneybeans
4,67,25,23.787096,24.356793,5.948164,119.640441,kidneybeans
37,56,25,22.055923,19.603793,5.774755,126.726537,kidneybeans
5,59,15,18.87493,20.182383,5.972292,134.181172,kidneybeans
11,61,21,18.623288,23.024103,5.532101,135.337803,kidneybeans
22,80,20,23.008847,18.86881,5.669561,100.118612,kidneybeans
12,61,19,19.331626,24.13995,5.655727,68.512534,kidneybeans
5,74,21,16.244692,21.357939,5.591704,66.970533,kidneybeans
27,69,22,17.916523,24.908147,5.932323,69.14681,kidneybeans
31,75,18,15.467893,21.437807,5.824208,88.887961,kidneybeans
36,68,20,17.061045,23.772015,5.86443,81.834205,kidneybeans
5,65,16,21.32776,18.485229,5.866744,109.101326,kidneybeans
32,79,15,23.909101,20.746193,5.706199,81.602112,kidneybeans
11,78,22,23.897568,22.74379,5.940547,112.661643,kidneybeans
0,55,22,22.986669,20.579406,5.916779,143.858494,kidneybeans
14,59,15,21.351357,22.912449,5.77909,146.454865,kidneybeans
29,68,23,24.163844,19.279078,5.82738,116.732432,kidneybeans
32,68,19,24.62835,18.183252,5.514234,149.744103,kidneybeans
17,64,17,21.022132,24.938963,5.662699,124.611847,kidneybeans
13,69,19,17.308445,20.017309,5.863904,115.199245,kidneybeans
14,67,22,23.825767,24.754851,5.62469,84.641436,kidneybeans
9,69,20,19.306073,23.963628,5.591561,129.344933,kidneybeans
20,73,22,16.037686,22.331959,5.976313,130.39008,kidneybeans
40,78,20,19.185728,20.833983,5.669236,80.152934,kidneybeans
27,72,23,19.928895,21.799921,5.961934,64.026408,kidneybeans
14,67,15,19.563765,24.673851,5.690066,139.2921,kidneybeans
7,56,18,18.313575,24.329916,5.698371,76.141539,kidneybeans
27,65,18,20.109938,23.223238,5.595032,73.363865,kidneybeans
30,63,16,23.605066,21.905396,5.525905,100.597873,kidneybeans
37,70,25,19.731369,24.894874,5.819404,84.063541,kidneybeans
27,63,19,20.934099,21.189301,5.562202,133.191442,kidneybeans
22,60,24,18.782263,20.247683,5.630665,104.257072,kidneybeans
3,72,24,36.512684,57.928872,6.031608,122.653969,pigeonpeas
40,59,23,36.891637,62.731782,5.269085,163.726655,pigeonpeas
33,73,23,29.235405,59.389676,5.985793,103.33018,pigeonpeas
27,57,24,27.335349,43.35796,6.091863,142.330368,pigeonpeas
10,79,18,21.064368,55.469859,5.624731,184.622671,pigeonpeas
30,75,25,30.332766,42.352499,6.446092,149.299952,pigeonpeas
40,70,20,31.801303,45.031862,5.62349,147.036144,pigeonpeas
38,55,19,33.181842,38.231847,5.864623,198.829881,pigeonpeas
35,58,20,29.385386,63.47742,5.761703,90.054227,pigeonpeas
38,61,21,30.27375,67.386808,4.696519,127.776713,pigeonpeas
33,58,24,35.457905,68.758105,5.269504,108.633305,pigeonpeas
16,56,17,33.8002,40.032624,7.445445,176.616589,pigeonpeas
31,72,17,28.691805,49.472254,5.833032,96.362229,pigeonpeas
16,80,20,31.240217,56.673691,7.339321,122.014673,pigeonpeas
27,72,17,28.980394,57.232652,6.347929,120.743566,pigeonpeas
40,62,19,27.321989,34.137371,4.697751,96.51524,pigeonpeas
18,58,16,21.476078,38.800237,4.962661,180.382234,pigeonpeas
3,68,16,18.319104,34.697766,4.964888,107.472161,pigeonpeas
26,67,24,36.977944,37.739929,5.642813,161.481296,pigeonpeas
16,70,20,24.804676,40.124275,5.609396,121.563912,pigeonpeas
24,63,19,19.347944,55.968055,4.681576,194.592115,pigeonpeas
9,76,25,28.883021,50.123238,5.709512,179.215587,pigeonpeas
16,55,19,19.543141,47.191883,6.413544,192.437219,pigeonpeas
28,75,21,24.774195,50.546211,6.007508,114.282139,pigeonpeas
16,71,24,18.331248,38.409755,4.94637,139.648332,pigeonpeas
24,70,21,19.14729,45.373376,5.517208,132.774822,pigeonpeas
38,72,21,28.234161,49.442135,5.902103,186.500858,pigeonpeas
9,66,21,30.118121,34.133078,5.71989,157.085823,pigeonpeas
34,56,17,33.412686,35.4291,4.548202,139.670254,pigeonpeas
1,76,19,24.185532,46.687468,6.669529,177.3378,pigeonpeas
6,69,19,26.886307,41.696179,4.750929,94.46748,pigeonpeas
26,73,21,31.331708,57.974292,4.946264,161.782023,pigeonpeas
27,61,18,33.307118,67.077808,5.266227,108.509017,pigeonpeas
27,71,23,23.45379,46.487148,7.109598,150.87122,pigeonpeas
36,61,21,34.538239,39.044689,5.617008,168.594832,pigeonpeas
17,73,18,19.501122,34.510866,5.632353,197.375265,pigeonpeas
26,72,22,28.767949,37.577921,4.674942,91.720849,pigeonpeas
17,64,16,30.977587,32.249142,7.161798,180.716828,pigeonpeas
14,74,19,18.397591,36.826393,6.624966,93.123306,pigeonpeas
39,60,15,35.093574,30.986855,5.004075,116.910691,pigeonpeas
6,66,15,34.931742,30.400468,6.345806,159.264983,pigeonpeas
